Symbol,Date,Open,High,Low,Close,Volume
ACPL,11-Jul-2012,86.25,91.00,86.20,89.00,42936
ACPL,12-Jul-2012,90.50,93.00,89.00,89.58,40979
ACPL,13-Jul-2012,90.85,91.10,88.00,90.36,26294
ACPL,16-Jul-2012,90.40,91.00,88.01,89.37,51321
ACPL,17-Jul-2012,90.50,92.00,89.49,91.03,53490
ACPL,18-Jul-2012,91.60,92.90,91.05,91.99,220420
ACPL,19-Jul-2012,92.50,92.79,91.04,91.50,167404
ACPL,20-Jul-2012,91.50,91.50,90.00,90.42,29708
ACPL,23-Jul-2012,90.50,91.50,90.50,91.45,2000
ACPL,24-Jul-2012,90.50,90.50,90.50,90.50,1000
ACPL,25-Jul-2012,91.99,91.99,91.00,91.00,10000
ACPL,26-Jul-2012,90.30,92.00,90.30,92.00,4500
ACPL,27-Jul-2012,91.10,92.89,91.10,92.26,13500
ACPL,30-Jul-2012,93.50,94.50,93.05,93.61,149000
ACPL,31-Jul-2012,93.00,94.20,93.00,94.03,45000
ACPL,01-Aug-2012,93.00,97.85,92.40,96.99,132000
ACPL,02-Aug-2012,97.00,97.50,96.00,96.95,39000
ACPL,03-Aug-2012,96.50,96.94,95.00,96.92,13000
ACPL,06-Aug-2012,95.25,96.35,95.00,95.45,7500
ACPL,07-Aug-2012,94.60,96.80,94.00,95.81,64000
ACPL,08-Aug-2012,95.50,96.50,95.05,95.13,67000
ACPL,09-Aug-2012,95.00,95.05,94.55,95.00,40500
ACPL,10-Aug-2012,95.50,97.45,95.40,96.87,21000
ACPL,13-Aug-2012,99.90,101.00,98.00,99.82,91500
ACPL,15-Aug-2012,100.40,101.39,99.00,99.42,45000
ACPL,16-Aug-2012,98.40,99.00,98.00,98.92,8500
ACPL,23-Aug-2012,99.50,100.40,98.55,99.08,32500
ACPL,24-Aug-2012,99.25,101.00,99.00,99.55,55500
ACPL,27-Aug-2012,100.45,103.45,100.45,101.54,227500
ACPL,28-Aug-2012,102.20,105.75,101.00,102.69,128000
ACPL,29-Aug-2012,101.10,104.98,101.10,104.00,27000
ACPL,30-Aug-2012,103.20,106.00,102.20,104.54,877500
ACPL,31-Aug-2012,106.00,106.00,104.00,104.00,337500
ACPL,03-Sep-2012,105.50,105.90,104.50,105.36,92500
ACPL,04-Sep-2012,104.75,104.75,104.01,104.20,6000
ACPL,05-Sep-2012,104.75,108.00,104.50,105.00,73000
ACPL,06-Sep-2012,106.00,106.00,102.00,102.52,42500
ACPL,07-Sep-2012,103.90,103.99,103.89,103.89,2000
ACPL,10-Sep-2012,102.00,104.00,101.99,103.64,52500
ACPL,11-Sep-2012,104.00,105.00,102.31,104.11,397000
ACPL,12-Sep-2012,105.50,105.50,102.75,102.91,37500
ACPL,13-Sep-2012,104.00,105.95,103.30,104.03,99500
ACPL,14-Sep-2012,105.70,107.34,105.70,106.91,177500
