Symbol,Date,Open,High,Low,Close,Volume
LUCK,03-Feb-2012,84.00,86.78,83.75,86.45,2091945
LUCK,06-Feb-2012,86.50,89.14,86.00,87.60,3743517
LUCK,07-Feb-2012,87.90,88.99,86.50,88.65,1492805
LUCK,08-Feb-2012,89.30,91.00,89.25,89.63,2874916
LUCK,09-Feb-2012,89.99,93.10,89.30,91.92,3854483
LUCK,10-Feb-2012,92.00,92.70,89.62,89.87,2027960
LUCK,13-Feb-2012,89.90,90.80,89.07,89.82,572508
LUCK,14-Feb-2012,90.35,90.89,87.82,88.18,1542644
LUCK,15-Feb-2012,89.00,89.30,87.99,88.28,792015
LUCK,16-Feb-2012,88.50,91.90,88.30,90.88,3616676
LUCK,17-Feb-2012,91.61,92.45,90.70,91.01,2085248
LUCK,20-Feb-2012,91.00,91.50,90.11,91.00,971755
LUCK,21-Feb-2012,91.18,94.55,91.18,93.76,5714583
LUCK,22-Feb-2012,94.00,95.20,92.85,93.31,2808802
LUCK,23-Feb-2012,93.30,95.34,92.81,93.67,3121014
LUCK,24-Feb-2012,93.50,96.25,93.50,95.43,3883497
LUCK,27-Feb-2012,95.00,95.70,93.90,95.05,3597627
LUCK,28-Feb-2012,95.40,99.00,95.12,97.71,9581205
LUCK,29-Feb-2012,97.60,100.90,97.60,99.01,4777345
LUCK,01-Mar-2012,99.40,100.50,98.00,98.75,2569433
LUCK,02-Mar-2012,99.30,103.50,98.70,102.05,3657702
LUCK,05-Mar-2012,103.50,103.78,101.75,102.16,1916265
LUCK,06-Mar-2012,102.50,102.99,100.53,101.38,2147142
LUCK,07-Mar-2012,101.80,101.80,99.70,100.13,2242355
LUCK,08-Mar-2012,100.89,105.13,100.50,104.87,4943608
LUCK,09-Mar-2012,104.90,106.43,103.61,104.17,3197331
LUCK,12-Mar-2012,105.55,105.55,103.07,103.65,1126869
LUCK,13-Mar-2012,103.90,104.99,102.80,103.14,1948855
LUCK,14-Mar-2012,103.50,104.40,101.31,101.88,1478618
LUCK,15-Mar-2012,102.10,102.90,100.26,102.46,2598766
LUCK,16-Mar-2012,103.00,104.29,100.60,101.25,3664483
LUCK,19-Mar-2012,100.90,102.40,99.80,100.83,2052951
LUCK,20-Mar-2012,100.99,105.39,100.99,104.49,3577075
LUCK,21-Mar-2012,105.00,105.30,102.80,103.09,1625040
LUCK,22-Mar-2012,103.10,103.85,102.50,103.29,1941409
LUCK,26-Mar-2012,103.95,104.10,102.52,103.31,1035863
LUCK,27-Mar-2012,103.85,107.48,102.57,106.32,6271093
LUCK,28-Mar-2012,106.90,110.70,106.20,109.40,7540923
LUCK,29-Mar-2012,108.90,109.25,107.40,108.05,1330886
LUCK,30-Mar-2012,108.40,113.45,108.40,113.45,4179146
LUCK,02-Apr-2012,114.44,116.60,112.50,113.04,5915755
LUCK,03-Apr-2012,113.00,114.75,110.11,114.35,2965410
LUCK,04-Apr-2012,114.94,117.38,114.50,116.59,3598655
LUCK,05-Apr-2012,116.99,122.41,116.65,121.95,4670970
LUCK,06-Apr-2012,121.50,128.04,120.88,127.57,4765139
LUCK,09-Apr-2012,128.36,129.80,123.05,123.56,3021358
LUCK,10-Apr-2012,123.20,125.15,122.16,123.61,3850189
LUCK,11-Apr-2012,124.80,127.43,122.71,124.34,5752729
LUCK,12-Apr-2012,124.25,125.24,118.50,120.48,6112041
LUCK,13-Apr-2012,121.25,125.51,119.25,120.94,4736568
LUCK,16-Apr-2012,121.50,126.98,121.00,126.37,3199676
LUCK,17-Apr-2012,128.21,129.75,126.31,127.19,2264766
LUCK,18-Apr-2012,127.99,133.34,125.35,132.67,4834051
LUCK,19-Apr-2012,131.90,134.10,131.11,131.69,4290107
LUCK,20-Apr-2012,131.55,133.80,129.60,133.29,7957010
LUCK,23-Apr-2012,133.40,138.75,132.51,137.64,3904231
LUCK,24-Apr-2012,138.59,139.95,133.10,133.59,4425139
LUCK,25-Apr-2012,135.00,136.25,132.00,133.33,4571358
LUCK,26-Apr-2012,133.00,136.24,126.67,127.28,3532387
LUCK,27-Apr-2012,126.68,131.40,125.90,130.48,3516492
LUCK,30-Apr-2012,130.31,131.80,128.30,130.23,1850024
LUCK,02-May-2012,130.44,134.30,129.90,132.87,4182032
LUCK,03-May-2012,133.90,139.00,133.52,137.57,7079826
LUCK,04-May-2012,138.20,138.50,131.50,133.12,4555007
LUCK,07-May-2012,134.25,135.68,131.01,131.50,7111743
LUCK,08-May-2012,132.44,134.64,131.20,132.05,4908833
LUCK,09-May-2012,132.35,133.90,131.56,133.08,2643281
LUCK,10-May-2012,133.40,133.70,127.10,130.01,6588790
LUCK,11-May-2012,129.70,131.71,124.61,126.95,4910507
LUCK,14-May-2012,127.11,128.10,124.50,127.56,2215253
LUCK,15-May-2012,129.00,129.70,127.96,128.91,1623428
LUCK,16-May-2012,129.00,129.00,124.50,125.20,2247831
LUCK,17-May-2012,125.51,128.50,122.80,125.73,4066905
LUCK,18-May-2012,126.00,126.25,120.20,121.52,3133539
LUCK,21-May-2012,122.49,123.20,120.75,122.08,659545
LUCK,22-May-2012,122.80,128.18,122.60,127.31,4845520
LUCK,23-May-2012,126.47,127.97,124.40,125.75,3856240
LUCK,24-May-2012,126.05,129.20,125.50,128.07,6194231
LUCK,25-May-2012,128.10,129.19,127.01,127.29,1927214
LUCK,28-May-2012,127.99,129.89,126.60,128.37,3827444
LUCK,29-May-2012,128.37,130.45,128.10,128.48,3330923
LUCK,30-May-2012,128.20,128.20,125.25,126.38,1143639
LUCK,31-May-2012,125.51,132.00,125.25,126.29,7987901
LUCK,01-Jun-2012,127.20,130.40,126.10,128.51,4548988
LUCK,04-Jun-2012,129.10,129.39,125.50,126.55,1986156
LUCK,05-Jun-2012,126.60,127.40,124.00,124.82,1709838
LUCK,06-Jun-2012,125.26,126.48,125.00,125.53,1866998
LUCK,07-Jun-2012,126.06,126.98,124.11,125.75,1133721
LUCK,08-Jun-2012,125.10,126.30,121.52,122.16,2617284
LUCK,11-Jun-2012,124.10,124.40,122.80,123.02,1473976
LUCK,12-Jun-2012,123.40,123.40,116.87,117.37,5418656
LUCK,13-Jun-2012,117.70,118.30,114.16,115.72,2137294
LUCK,14-Jun-2012,116.40,118.88,116.25,118.05,7053555
LUCK,15-Jun-2012,118.88,119.99,116.51,117.07,3513070
LUCK,18-Jun-2012,117.48,118.50,117.00,117.11,1839302
LUCK,19-Jun-2012,117.01,117.01,113.90,114.69,2985402
LUCK,20-Jun-2012,114.70,116.10,114.31,114.65,1266628
LUCK,21-Jun-2012,114.65,115.00,112.80,113.18,1786527
LUCK,22-Jun-2012,113.60,115.80,111.01,114.32,5020689
LUCK,25-Jun-2012,114.70,115.45,113.00,113.21,1224295
LUCK,26-Jun-2012,113.25,114.80,112.65,113.63,1453916
LUCK,27-Jun-2012,113.51,115.70,113.50,115.33,1733389
LUCK,28-Jun-2012,115.50,116.80,115.50,115.67,1625775
LUCK,29-Jun-2012,115.70,116.55,114.75,115.39,1202679
LUCK,02-Jul-2012,115.60,119.99,115.60,119.58,4725545
LUCK,03-Jul-2012,120.21,121.87,119.20,120.21,3823514
LUCK,04-Jul-2012,121.50,122.25,119.51,120.19,3731825
LUCK,05-Jul-2012,120.50,120.80,119.65,120.28,804522
LUCK,06-Jul-2012,120.34,123.20,120.25,122.29,4506522
